name,xTB_ene
MFKZDADVASPENT_5_0_0,-21.467887
MQZTXKZTLDDYNK_15_1_1,-21.590322
MQZTXKZTLDDYNK_15_1_2,-21.593031999999997
MQZTXKZTLDDYNK_16_0_1,-21.508612
MQZTXKZTLDDYNK_20_0_3,-21.576297
MQZTXKZTLDDYNK_22_0_3,-21.513023
MQZTXKZTLDDYNK_25_0_2,-21.491026
MQZTXKZTLDDYNK_26_0_1,-21.516711
MQZTXKZTLDDYNK_26_0_2,-21.515106
MQZTXKZTLDDYNK_28_0_0,-21.531549000000002
MQZTXKZTLDDYNK_2_1_1,-21.549491
MQZTXKZTLDDYNK_2_2_3,-21.505153
MQZTXKZTLDDYNK_30_0_2,-21.520965
MQZTXKZTLDDYNK_33_0_1,-21.541285
MQZTXKZTLDDYNK_33_0_2,-21.537284
MQZTXKZTLDDYNK_33_0_3,-21.538780000000003
MQZTXKZTLDDYNK_37_0_1,-21.557599
MQZTXKZTLDDYNK_6_0_0,-21.524348
MQZTXKZTLDDYNK_6_1_2,-21.512579
MQZTXKZTLDDYNK_6_1_3,-21.508082
MQZTXKZTLDDYNK_6_2_2,-21.549970000000002
MQZTXKZTLDDYNK_8_0_3,-21.518683
MRPPZOFPHFPLIZ_11_0_3,-16.407769
MRPPZOFPHFPLIZ_13_0_1,-16.409594000000002
MRPPZOFPHFPLIZ_14_0_0,-16.438305999999997
MRPPZOFPHFPLIZ_1_0_0,-16.450697
MRPPZOFPHFPLIZ_4_0_0,-16.469566
MRPPZOFPHFPLIZ_4_0_1,-16.461736
MRPPZOFPHFPLIZ_5_1_0,-16.437729
MRPPZOFPHFPLIZ_5_1_2,-16.433176
MRPPZOFPHFPLIZ_8_1_0,-16.436708000000003
MRPPZOFPHFPLIZ_9_0_1,-16.440309
MRPPZOFPHFPLIZ_9_0_2,-16.447848
NBBJYMSMWIIQGU_10_0_0,-13.389012
NBBJYMSMWIIQGU_4_0_0,-13.327803
NBBJYMSMWIIQGU_6_0_0,-13.339091
NBBJYMSMWIIQGU_6_0_1,-13.39353
NBBJYMSMWIIQGU_6_0_2,-13.394726
NBBJYMSMWIIQGU_8_0_0,-13.415173000000001
NBBJYMSMWIIQGU_8_0_2,-13.407876
NQPDZGIKBAWPEJ_12_0_0,-23.816894
NQPDZGIKBAWPEJ_12_0_3,-23.809546
NQPDZGIKBAWPEJ_17_0_1,-23.839439000000002
NQPDZGIKBAWPEJ_17_0_2,-23.837767999999997
NQPDZGIKBAWPEJ_33_0_0,-23.832662
NQPDZGIKBAWPEJ_34_0_3,-23.774604
NQPDZGIKBAWPEJ_54_0_3,-23.836506
NQPDZGIKBAWPEJ_56_0_1,-23.828778999999997
OKKJL-WSFSS_1_0_0,-15.252258999999999
OKKJL-WSFSS_2_0_0,-15.319772
OKKJL-WSFSS_2_2_0,-15.369443
OKKJL-WSFSS_3_0_2,-15.255326
OKKJL-WSFSS_4_0_3,-15.291477
OKKJL-WSFSS_5_0_0,-15.2961
OKKJL-WSFSS_5_0_2,-15.299275999999999
OKKJL-WSFSS_6_0_0,-15.29083
OKKJL-WSFSS_7_0_1,-15.304941999999999
OKKJL-WSFSS_8_0_0,-15.329908000000001
PPDZRFISKQZISE_16_0_0,-23.699661000000003
PPDZRFISKQZISE_19_0_1,-23.817542
PPDZRFISKQZISE_23_0_1,-23.778427
PPDZRFISKQZISE_23_0_2,-23.783035
PPDZRFISKQZISE_2_0_0,-23.769341999999998
PPDZRFISKQZISE_30_0_0,-23.794441
PPDZRFISKQZISE_30_0_2,-23.78426
PPDZRFISKQZISE_32_0_2,-23.789517
PPDZRFISKQZISE_32_1_0,-23.838504
PPDZRFISKQZISE_35_0_3,-23.729219
PPDZRFISKQZISE_38_0_2,-23.662702
PPDZRFISKQZISE_3_1_0,-23.792755
PPDZRFISKQZISE_52_0_0,-23.834458
PPDZRFISKQZISE_52_0_2,-23.825483000000002
PPDZRFISKQZISE_9_0_3,-23.664669
QGZKD-STSCV_13_0_0,-37.842475
QGZKD-STSCV_14_0_0,-37.745189
QGZKD-STSCV_2_0_0,-37.807077
QGZKD-STSCV_2_0_1,-37.807468
QGZKD-STSCV_6_0_0,-37.732533
QGZKD-STSCV_7_0_0,-37.792457
QGZKD-STSCV_7_0_1,-37.792817
QGZKD-STSCV_8_0_2,-37.813151999999995
RUOJZAUFBMNUDX_10_0_0,-23.70085
RUOJZAUFBMNUDX_17_0_0,-23.735591
RUOJZAUFBMNUDX_17_1_0,-23.727982
RUOJZAUFBMNUDX_18_0_0,-23.72212
RUOJZAUFBMNUDX_18_0_1,-23.738189000000002
RUOJZAUFBMNUDX_23_0_0,-23.722878
RUOJZAUFBMNUDX_31_0_0,-23.716818
RUOJZAUFBMNUDX_31_0_1,-23.715947999999997
RUOJZAUFBMNUDX_7_0_0,-23.731372
RUOJZAUFBMNUDX_8_0_0,-23.670985
SCKXCAADGDQQCS_3_1_0,-15.185255999999999
SCKXCAADGDQQCS_3_1_3,-15.175495
SCKXCAADGDQQCS_6_0_0,-15.172957
SHQSVMDWKBRBGB_10_0_1,-15.526444999999999
SHQSVMDWKBRBGB_2_1_0,-15.510077
SHQSVMDWKBRBGB_5_0_0,-15.497315
TZIHFWKZFHZASV_2_0_1,-14.276406
